Match Hash,Team 1,% Team 1,Team 2,% Team 2
2e78e52c730e58fe59a22acb8e24a475,Karmine Corp GC,66.67%,GIANTX GC,33.33%
733402a1260cd63f7dc95be51f600a4f,HEROIC Valkyries,37.83%,DVM Miss,62.17%
57ba384fab273124bfdcc5156eba8738,G2 Gozen,79.04%,Zerance Mint,20.96%
97aee8e13d27a6f09b4483c798ff88ba,SK Nebula,39.72%,Twisted Minds Orchid,60.28%
88eaa754734d2921271a576c5230a40d,Team Heretics,44.51%,Paper Rex,55.49%
ae8ec120b7b8410047cc561726e58985,Bilibili Gaming,60.7%,Team Liquid,39.3%
3662fd307288a25edd14dfc8e9b9314d,Sentinels,69.86%,Wolves Esports,30.14%
b57d2230fd21a44837eaf2eb5699d1b3,Gen.G,52.86%,MIBR,47.14%
adb3402423a62b43927a1a24368f46bd,Team RA'AD,83.82%,BAAM Esports,16.18%
1d5530a34583ee35bfe333ab57a9965d,VillianArc,11.4%,AlQadsiah Esports,88.6%
f7ff6a0b846af38923162156aac5949b,Twisted Minds,81.12%,Fraggerz,18.88%
f71ae077088f8014a68783e7ea9b0b00,Gamax Esports,78.52%,One More Esports,21.48%
6ed222d777e656dfeb61e268ab6bf3fd,RED Canids,94.72%,Agropesca Jacare,5.28%
5806ff9faeba1bb6290c2bb74b958aa2,2Game Academy,59.47%,SAGAZ,40.53%
45b2a1661fd88510936be83495567e54,Los Grandes,85.6%,TBK Esports,14.4%
22bc04171b9a1d6ff7fea6b184ab7508,Corinthians Esports,73.3%,PEEK,26.7%
5e90fc1b03347dd532c6e2b1a9492f9e,FURIA Academy,51.25%,ELEVATE,48.75%
ca405f5b9b95380d48416042811bdc79,Stellae Gaming,48.27%,DIRETORIA,51.73%
ddaee8b4640677492c53f4cd9b7b3a52,The Ultimates,73.28%,RvN,26.72%
97f3acbf1e50aa88886b2ab3f8b96991,Yung,30.16%,NOBLES,69.84%
d5f01760f3adb6d4616b282527ad6727,Team GB,41.87%,RAFHA eSPORTS,58.13%
fff0ca2e725893a9efdd7bcdb69e0f4b,GnG Esports,36.03%,3BL Esports,63.97%
b2ba3c8aea9e361a5df55c6f21142103,REIGNITE Lily,67.25%,Soleil Gaming GC,32.75%
a05b9bdbf45580f79ee6f6bc442006af,DRX Changers,61.48%,Delight GC,38.52%
8e5b798076b6139e55e6b1742f77b2e8,Meteor,55.8%,EOTO,44.2%
bccfb6328fae62573b35054946a87001,FENNEL GC,71.25%,Sasanqua,28.75%
8cc86b93e7e66ca3419298ed9945450f,Los Grandes,82.01%,SAGAZ,17.99%
1445786678308b5c3001984c399478b4,TBK Esports,74.36%,Agropesca Jacare,25.64%
56fce93572da5a423d08ea8ef8af27cd,2Game Academy,55.35%,F4TALITY,44.65%
48f06442965d6dad2d5e68f1fb53f55b,Stellae Gaming,70.69%,ELEVATE,29.31%
24d345337834ec70d8a33596998b84da,DIRETORIA,65.24%,PEEK,34.76%
9600bcae08f97986eb6a80bfc4a8456f,FURIA Academy,73.79%,MIBR Academy,26.21%
e4a71c942c7b27cf5a004a1f26677e6e,Twisted Minds,91.58%,VillianArc,8.42%
26c8940fe9e2afe19984edeee982ea92,The Ultimates,92.41%,Yung,7.59%
d6666aa716d9d2dca7dbae9f56bfcd2e,Gamax Esports,78.52%,Team GB,21.48%
33b1c9e769f19a4190151a15d2945c03,Team RA'AD,87.43%,GnG Esports,12.57%
ae50f6d9e36dd5d6feee5fa112bc2e58,Team Falcons Vega,82.54%,Salapao,17.46%
f511e3875528ee561922b8ee61a78dc0,HYPA HYPA Esports,59.25%,Kimmy's Kitchen,40.75%
5257c3d2d3b1cfcfe9b97bf14c04d905,MAD Army,75.02%,Kitty Nya Nya,24.98%
91ea85ac385153e951757bf0e7d971e1,sisu,72.1%,Precision Power Quickness,27.9%
12e5df3f0c4c03d5c8134c119aaf3e8c,Los Grandes,94.52%,Agropesca Jacare,5.48%
639cd9cf87e39be8848e7024c87c0186,SAGAZ,45.79%,F4TALITY,54.21%
a50e7cd7dbedcf1f6690f7d63114d683,RED Canids,76.37%,2Game Academy,23.63%
f66d4ea1d9d31499f9f39f583039d7e5,Stellae Gaming,63.66%,PEEK,36.34%
ad1726c9e43e90a75bd59cc958079a6d,ELEVATE,72.81%,MIBR Academy,27.19%
709470a8d5430ada9113986a77d3e188,Corinthians Esports,78.23%,FURIA Academy,21.77%
dd629dc35e1eeea0a8d27a9770ca3ef8,Fraggerz,24.59%,AlQadsiah Esports,75.41%
6e63e5cb7b22a22b73ffca6ae2d1fe6a,BAAM Esports,43.08%,3BL Esports,56.92%
cf14cb638923517a711224674efed301,RvN,65.71%,NOBLES,34.29%
e6eb938de509d1869a571457028bd406,One More Esports,41.87%,RAFHA eSPORTS,58.13%
54f92fed38d81114135434cb7aaeee2c,2Game Academy,65.69%,TBK Esports,34.31%
3cf52eaf81fcb79adc32cd2cac5cf728,RED Canids,82.59%,SAGAZ,17.41%
0b7231812210d69c589237ed95e00d10,Los Grandes,79.38%,F4TALITY,20.62%
93bdc8db3bbbc16b28f03d9372879faa,FURIA Academy,28.92%,DIRETORIA,71.08%
94bfb506974aac9a12b23b16610b33ad,Corinthians Esports,79.07%,ELEVATE,20.93%
e9bc9818959b5a796c9ee4570ab60faa,Stellae Gaming,86.59%,MIBR Academy,13.41%
411cce588b341ab5c3b1d224c691819c,RED Canids,80.03%,F4TALITY,19.97%
6b1582a00e5b9132804ceb9960f1bba3,2Game Academy,84.74%,Agropesca Jacare,15.26%
921ed8692b97a4e73e719d5fb8f86daf,Corinthians Esports,91.0%,MIBR Academy,9.0%
3f749db5cb62de15c677eb69fbedd490,FURIA Academy,43.31%,PEEK,56.69%
8091850a57257bf620d536cbfa88ac4d,TBK Esports,43.39%,SAGAZ,56.61%
850fd273cc4709f9c0f21256fa5ed75b,DIRETORIA,72.1%,ELEVATE,27.9%
